,type,de,para,zmed,prec,i_de,i_para
1677,0,44090,-1,0.0,0.0,1482,-9
1271,0,5531,-1,0.0,0.0,875,-9
1686,0,44118,-1,0.0,0.0,212,-9
1269,0,5511,-1,0.0,0.0,403,-9
1269,0,5525,-1,0.0,0.0,874,-9
1284,0,5685,-1,0.0,0.0,211,-9
1673,0,44092,-1,0.0,0.0,1484,-9
1673,0,44093,-1,0.0,0.0,1485,-9
1673,0,44094,-1,0.0,0.0,1486,-9
1673,0,44096,-1,0.0,0.0,1487,-9
1675,0,44106,-1,0.0,0.0,1491,-9
1256,0,5378,-1,0.0,0.0,827,-9
1740,0,45029,-1,0.0,0.0,1565,-9
1326,0,6262,-1,0.0,0.0,831,-9
1673,0,44107,-1,0.0,0.0,1492,-9
1588,0,9601,-1,0.0,0.0,984,-9
1585,0,9509,-1,0.0,0.0,1422,-9
1059,0,117,-1,0.0,0.0,1129,-9
1698,0,44656,-1,0.0,0.0,1527,-9
1579,0,9469,-1,0.0,0.0,1417,-9
1530,0,8392,-1,0.0,0.0,1372,-9
1531,0,8393,-1,0.0,0.0,1373,-9
1467,0,7911,-1,0.0,0.0,1323,-9
1252,0,5352,-1,0.0,0.0,523,-9
1301,0,6059,-1,0.0,0.0,999,-9
1299,0,6040,-1,0.0,0.0,508,-9
1487,0,8163,-1,0.0,0.0,125,-9
1277,0,5631,-1,0.0,0.0,142,-9
1719,0,45021,-1,0.0,0.0,1560,-9
1690,0,44668,-1,0.0,0.0,1529,-9
1556,0,8886,-1,0.0,0.0,1399,-9
1691,0,44705,-1,0.0,0.0,1533,-9
1555,0,8796,-1,0.0,0.0,1398,-9
1246,0,5262,-1,0.0,0.0,530,-9
1677,0,44594,-1,0.0,0.0,514,-9
1689,0,44714,-1,0.0,0.0,1535,-9
1688,0,44709,-1,0.0,0.0,1534,-9
1503,0,8270,-1,0.0,0.0,14,-9
1504,0,8280,-1,0.0,0.0,799,-9
1689,0,44781,-1,0.0,0.0,1536,-9
1711,0,45028,-1,0.0,0.0,1564,-9
1284,0,5740,-1,0.0,0.0,91,-9
1709,0,45025,-1,0.0,0.0,1562,-9
1708,0,45026,-1,0.0,0.0,1563,-9
1553,0,8974,-1,0.0,0.0,1401,-9
1463,0,7926,-1,0.0,0.0,1327,-9
1463,0,7933,-1,0.0,0.0,381,-9
1728,0,45331,-1,0.0,0.0,1592,-9
1727,0,45330,-1,0.0,0.0,1591,-9
1732,0,45475,-1,0.0,0.0,1599,-9
1374,0,6734,-1,0.0,0.0,1014,-9
1297,0,6061,-1,0.0,0.0,67,-9
1731,0,45480,-1,0.0,0.0,1600,-9
1695,0,44960,-1,0.0,0.0,1551,-9
1694,0,44957,-1,0.0,0.0,1550,-9
1327,0,6358,-1,0.0,0.0,24,-9
1424,0,7289,-1,0.0,0.0,1276,-9
1548,0,8984,-1,0.0,0.0,821,-9
1530,0,8509,-1,0.0,0.0,807,-9
1479,0,8179,-1,0.0,0.0,85,-9
1325,0,6334,-1,0.0,0.0,29,-9
1688,0,44963,-1,0.0,0.0,1552,-9
1671,0,44665,-1,0.0,0.0,1528,-9
1726,0,45554,-1,0.0,0.0,1607,-9
1376,0,6766,-1,0.0,0.0,158,-9
1245,0,5202,-1,0.0,0.0,362,-9
1725,0,45557,-1,0.0,0.0,1608,-9
1642,0,44110,-1,0.0,0.0,1495,-9
1693,0,45085,-1,0.0,0.0,1570,-9
1694,0,45086,-1,0.0,0.0,1571,-9
1689,0,45022,-1,0.0,0.0,1561,-9
1685,0,44985,-1,0.0,0.0,1554,-9
1720,0,45583,-1,0.0,0.0,1610,-9
1663,0,44609,-1,0.0,0.0,1519,-9
1665,0,44618,-1,0.0,0.0,1521,-9
1663,0,44610,-1,0.0,0.0,1520,-9
1249,0,5350,-1,0.0,0.0,512,-9
1543,0,8998,-1,0.0,0.0,1403,-9
1544,0,8999,-1,0.0,0.0,1404,-9
1717,0,45587,-1,0.0,0.0,1611,-9
1708,0,45539,-1,0.0,0.0,1602,-9
1290,0,5925,-1,0.0,0.0,1223,-9
1702,0,45333,-1,0.0,0.0,1593,-9
1660,0,44652,-1,0.0,0.0,1526,-9
1256,0,5434,-1,0.0,0.0,127,-9
1398,0,7184,-1,0.0,0.0,152,-9
1487,0,8240,-1,0.0,0.0,160,-9
1683,0,45130,-1,0.0,0.0,1577,-9
1288,0,5924,-1,0.0,0.0,1222,-9
1285,0,5841,-1,0.0,0.0,1219,-9
1705,0,45611,-1,0.0,0.0,1614,-9
1698,0,45530,-1,0.0,0.0,1601,-9
1694,0,45344,-1,0.0,0.0,1595,-9
1286,0,5917,-1,0.0,0.0,845,-9
1348,0,6530,-1,0.0,0.0,132,-9
1702,0,45675,-1,0.0,0.0,1616,-9
1516,0,8500,-1,0.0,0.0,797,-9
1527,0,8752,-1,0.0,0.0,1630,-9
1516,0,8585,-1,0.0,0.0,1394,-9
1310,0,6225,-1,0.0,0.0,802,-9
1309,0,6221,-1,0.0,0.0,75,-9
1310,0,6280,-1,0.0,0.0,57,-9
1311,0,6281,-1,0.0,0.0,17,-9
1400,0,7212,-1,0.0,0.0,69,-9
1319,0,6380,-1,0.0,0.0,88,-9
1306,0,6204,-1,0.0,0.0,51,-9
1318,0,6371,-1,0.0,0.0,19,-9
1346,0,6621,-1,0.0,0.0,47,-9
1309,0,6291,-1,0.0,0.0,86,-9
1342,0,6620,-1,0.0,0.0,66,-9
1250,0,5370,-1,0.0,0.0,149,-9
1578,0,42326,-1,0.0,0.0,1637,-9
1678,0,45375,-1,0.0,0.0,1598,-9
1357,0,6770,-1,0.0,0.0,848,-9
1356,0,6764,-1,0.0,0.0,847,-9
1499,0,8440,-1,0.0,0.0,159,-9
1355,0,6759,-1,0.0,0.0,135,-9
1204,0,4471,-1,0.0,0.0,322,-9
1409,0,7552,-1,0.0,0.0,1649,-9
1436,0,8100,-1,0.0,0.0,359,-9
1441,0,8106,-1,0.0,0.0,932,-9
1600,0,43970,-1,0.0,0.0,1651,-9
1465,0,8300,-1,0.0,0.0,349,-9
1471,0,8311,-1,0.0,0.0,343,-9
1472,0,8313,-1,0.0,0.0,1654,-9
1470,0,8321,-1,0.0,0.0,344,-9
1471,0,8331,-1,0.0,0.0,938,-9
1478,0,8400,-1,0.0,0.0,11,-9
1468,0,8304,-1,0.0,0.0,1361,-9
1479,0,8402,-1,0.0,0.0,1375,-9
1467,0,8303,-1,0.0,0.0,1360,-9
1477,0,8401,-1,0.0,0.0,1374,-9
1456,0,8204,-1,0.0,0.0,1353,-9
1466,0,8302,-1,0.0,0.0,1359,-9
1452,0,8200,-1,0.0,0.0,342,-9
1454,0,8203,-1,0.0,0.0,1352,-9
1463,0,8301,-1,0.0,0.0,1358,-9
1439,0,8104,-1,0.0,0.0,1348,-9
1453,0,8202,-1,0.0,0.0,1351,-9
1438,0,8103,-1,0.0,0.0,1347,-9
1451,0,8201,-1,0.0,0.0,1350,-9
1455,0,8249,-1,0.0,0.0,1631,-9
1455,0,8250,-1,0.0,0.0,341,-9
1052,0,107,-1,0.0,0.0,495,-9
1052,0,108,-1,0.0,0.0,991,-9
1552,0,42433,-1,0.0,0.0,1639,-9
1051,0,106,-1,0.0,0.0,490,-9
1501,0,9608,-1,0.0,0.0,500,-9
1051,0,109,-1,0.0,0.0,1124,-9
1501,0,9785,-1,0.0,0.0,602,-9
1502,0,9786,-1,0.0,0.0,605,-9
1529,0,41223,-1,0.0,0.0,1664,-9
1501,0,9787,-1,0.0,0.0,1032,-9
1124,0,943,-1,0.0,0.0,672,-9
1546,0,43051,-1,0.0,0.0,1666,-9
1087,0,535,-1,0.0,0.0,907,-9
1597,0,44773,-1,0.0,0.0,1671,-9
1411,0,7738,-1,0.0,0.0,758,-9
1522,0,21901,-1,0.0,0.0,1672,-9
1526,0,41590,-1,0.0,0.0,1676,-9
1150,0,1086,-1,0.0,0.0,300,-9
1541,0,43096,-1,0.0,0.0,1680,-9
1159,0,1889,-1,0.0,0.0,302,-9
1134,0,978,-1,0.0,0.0,458,-9
1515,0,10258,-1,0.0,0.0,1439,-9
1119,0,898,-1,0.0,0.0,450,-9
1497,0,9890,-1,0.0,0.0,977,-9
1110,0,839,-1,0.0,0.0,439,-9
1111,0,843,-1,0.0,0.0,449,-9
1158,0,2458,-1,0.0,0.0,446,-9
1500,0,10005,-1,0.0,0.0,972,-9
1487,0,9538,-1,0.0,0.0,445,-9
1489,0,9725,-1,0.0,0.0,974,-9
1147,0,1088,-1,0.0,0.0,304,-9
1088,0,545,-1,0.0,0.0,755,-9
1135,0,1025,-1,0.0,0.0,299,-9
1146,0,1087,-1,0.0,0.0,917,-9
1500,0,10101,-1,0.0,0.0,301,-9
1133,0,1018,-1,0.0,0.0,914,-9
1141,0,1078,-1,0.0,0.0,297,-9
1141,0,1085,-1,0.0,0.0,915,-9
1069,0,380,-1,0.0,0.0,287,-9
1507,0,42066,-1,0.0,0.0,1687,-9
1175,0,4333,-1,0.0,0.0,274,-9
