,type,de,para,zmed,prec,i_de,i_para
1106,0,448,-1,0.0,0.0,740,-9
1107,0,458,-1,0.0,0.0,698,-9
1145,0,600,-1,0.0,0.0,1070,-9
1744,0,9123,-1,0.0,0.0,735,-9
1075,0,252,-1,0.0,0.0,484,-9
1107,0,461,-1,0.0,0.0,986,-9
1276,0,3384,-1,0.0,0.0,747,-9
1101,0,438,-1,0.0,0.0,1098,-9
1108,0,474,-1,0.0,0.0,1081,-9
1602,0,7693,-1,0.0,0.0,1310,-9
1068,0,128,-1,0.0,0.0,1132,-9
1069,0,129,-1,0.0,0.0,773,-9
1103,0,449,-1,0.0,0.0,741,-9
1106,0,488,-1,0.0,0.0,739,-9
1108,0,490,-1,0.0,0.0,1102,-9
1098,0,435,-1,0.0,0.0,754,-9
1103,0,466,-1,0.0,0.0,1096,-9
1594,0,7691,-1,0.0,0.0,1309,-9
1062,0,120,-1,0.0,0.0,912,-9
1064,0,123,-1,0.0,0.0,767,-9
1066,0,126,-1,0.0,0.0,769,-9
1137,0,697,-1,0.0,0.0,706,-9
1077,0,367,-1,0.0,0.0,273,-9
1097,0,464,-1,0.0,0.0,746,-9
1041,0,78,-1,0.0,0.0,1080,-9
1120,0,582,-1,0.0,0.0,727,-9
1414,0,5991,-1,0.0,0.0,819,-9
1608,0,7996,-1,0.0,0.0,1330,-9
1354,0,5351,-1,0.0,0.0,511,-9
1658,0,8344,-1,0.0,0.0,1366,-9
1659,0,8345,-1,0.0,0.0,1367,-9
1350,0,5305,-1,0.0,0.0,409,-9
1654,0,8319,-1,0.0,0.0,1363,-9
1486,0,6631,-1,0.0,0.0,408,-9
1349,0,5303,-1,0.0,0.0,405,-9
1147,0,939,-1,0.0,0.0,670,-9
1767,0,10056,-1,0.0,0.0,1430,-9
1772,0,10087,-1,0.0,0.0,1434,-9
1130,0,821,-1,0.0,0.0,973,-9
1157,0,960,-1,0.0,0.0,434,-9
1172,0,1020,-1,0.0,0.0,969,-9
1132,0,834,-1,0.0,0.0,964,-9
1220,0,1268,-1,0.0,0.0,639,-9
1787,0,41004,-1,0.0,0.0,1449,-9
1214,0,1256,-1,0.0,0.0,1029,-9
1776,0,10276,-1,0.0,0.0,1440,-9
1778,0,10283,-1,0.0,0.0,1442,-9
1202,0,1199,-1,0.0,0.0,620,-9
1197,0,1178,-1,0.0,0.0,1147,-9
1203,0,1204,-1,0.0,0.0,648,-9
1162,0,975,-1,0.0,0.0,1041,-9
1201,0,1206,-1,0.0,0.0,610,-9
1737,0,9836,-1,0.0,0.0,1036,-9
1767,0,10216,-1,0.0,0.0,1438,-9
1151,0,951,-1,0.0,0.0,598,-9
1720,0,9590,-1,0.0,0.0,597,-9
1155,0,962,-1,0.0,0.0,609,-9
1164,0,980,-1,0.0,0.0,636,-9
1725,0,9780,-1,0.0,0.0,650,-9
1206,0,1258,-1,0.0,0.0,599,-9
1200,0,1218,-1,0.0,0.0,624,-9
1722,0,9783,-1,0.0,0.0,1035,-9
1201,0,1236,-1,0.0,0.0,644,-9
1202,0,1246,-1,0.0,0.0,1049,-9
1726,0,9819,-1,0.0,0.0,647,-9
1713,0,9569,-1,0.0,0.0,590,-9
1193,0,1190,-1,0.0,0.0,600,-9
1199,0,1212,-1,0.0,0.0,607,-9
1203,0,1259,-1,0.0,0.0,641,-9
1205,0,1264,-1,0.0,0.0,643,-9
1206,0,1267,-1,0.0,0.0,1030,-9
1729,0,9961,-1,0.0,0.0,638,-9
1194,0,1194,-1,0.0,0.0,589,-9
1747,0,10257,-1,0.0,0.0,623,-9
1686,0,9262,-1,0.0,0.0,617,-9
1196,0,1210,-1,0.0,0.0,616,-9
1156,0,965,-1,0.0,0.0,593,-9
1194,0,1198,-1,0.0,0.0,595,-9
1747,0,10298,-1,0.0,0.0,1443,-9
1748,0,10307,-1,0.0,0.0,1444,-9
1207,0,1386,-1,0.0,0.0,1028,-9
1684,0,9278,-1,0.0,0.0,606,-9
1193,0,1200,-1,0.0,0.0,608,-9
1194,0,1249,-1,0.0,0.0,656,-9
1699,0,9547,-1,0.0,0.0,634,-9
1203,0,1320,-1,0.0,0.0,1151,-9
1711,0,9901,-1,0.0,0.0,1039,-9
1191,0,1163,-1,0.0,0.0,625,-9
1199,0,1287,-1,0.0,0.0,1149,-9
1191,0,1192,-1,0.0,0.0,1027,-9
1175,0,1057,-1,0.0,0.0,683,-9
1176,0,1063,-1,0.0,0.0,1062,-9
